61730,617**,*****
23042,230**,*****
48564,485**,*****
3426,342**,*****
23058,230**,*****
49476,494**,*****
35046,350**,*****
34569,345**,*****
46300,463**,*****
8829,882**,*****
42100,421**,*****
48018,480**,*****
44211,442**,*****
48565,485**,*****
2822,282**,*****
8339,833**,*****
34591,345**,*****
2858,285**,*****
4774,477**,*****
34161,341**,*****
41713,417**,*****
62399,623**,*****
44043,440**,*****
1118,111**,*****
4923,492**,*****
23017,230**,*****
48565,485**,*****
3052,305**,*****
21421,214**,*****
42449,424**,*****
42456,424**,*****
47024,470**,*****
49249,492**,*****
7055,705**,*****
49070,490**,*****
61923,619**,*****
2717,271**,*****
34121,341**,*****
1182,118**,*****
6935,693**,*****
22795,227**,*****
21946,219**,*****
6527,652**,*****
42790,427**,*****
4395,439**,*****
5810,581**,*****
8748,874**,*****
6196,619**,*****
47587,475**,*****
21507,215**,*****
22827,228**,*****
5337,533**,*****
8853,885**,*****
1125,112**,*****
42097,420**,*****
44953,449**,*****
22359,223**,*****
48225,482**,*****
2143,214**,*****
6980,698**,*****
47172,471**,*****
5221,522**,*****
22205,222**,*****
41018,410**,*****
7309,730**,*****
23011,230**,*****
46004,460**,*****
7733,773**,*****
4529,452**,*****
61188,611**,*****
4027,402**,*****
46978,469**,*****
2770,277**,*****
6965,696**,*****
7266,726**,*****
42699,426**,*****
8626,862**,*****
44774,447**,*****
7902,790**,*****
3088,308**,*****
42201,422**,*****
46083,460**,*****
6997,699**,*****
21563,215**,*****
6038,603**,*****
5088,508**,*****
2845,284**,*****
44227,442**,*****
44975,449**,*****
22156,221**,*****
2844,284**,*****
5796,579**,*****
48510,485**,*****
21413,214**,*****
42036,420**,*****
3675,367**,*****
62350,623**,*****
5003,500**,*****
3495,349**,*****
5369,536**,*****
46725,467**,*****
5624,562**,*****
47570,475**,*****
5356,535**,*****
8267,826**,*****
3330,333**,*****
42230,422**,*****
2471,247**,*****
3726,372**,*****
3667,366**,*****
6208,620**,*****
46981,469**,*****
48408,484**,*****
8710,871**,*****
61193,611**,*****
21643,216**,*****
44902,449**,*****
61179,611**,*****
22169,221**,*****
46649,466**,*****
4613,461**,*****
6951,695**,*****
7074,707**,*****
8702,870**,*****
35056,350**,*****
4090,409**,*****
42147,421**,*****
22771,227**,*****
43021,430**,*****
2783,278**,*****
2114,211**,*****
61418,614**,*****
3394,339**,*****
6532,653**,*****
61600,616**,*****
42439,424**,*****
21403,214**,*****
8024,802**,*****
61007,610**,*****
49493,494**,*****
6122,612**,*****
49242,492**,*****
5691,569**,*****
7362,736**,*****
22190,221**,*****
61600,616**,*****
3678,367**,*****
49213,492**,*****
23023,230**,*****
44240,442**,*****
41481,414**,*****
4914,491**,*****
22602,226**,*****
44486,444**,*****
4138,413**,*****
46316,463**,*****
6795,679**,*****
21515,215**,*****
23015,230**,*****
42176,421**,*****
42056,420**,*****
46708,467**,*****
1083,108**,*****
44228,442**,*****
46327,463**,*****
41735,417**,*****
34120,341**,*****
1096,109**,*****
49271,492**,*****
47105,471**,*****
6203,620**,*****
7014,701**,*****
34969,349**,*****
22171,221**,*****
6144,614**,*****
35289,352**,*****
61680,616**,*****
1610,161**,*****
3650,365**,*****
7292,729**,*****
44968,449**,*****
2012,201**,*****
62420,624**,*****
3427,342**,*****
22157,221**,*****
7946,794**,*****
6960,696**,*****
61192,611**,*****
34656,346**,*****
21550,215**,*****
3102,310**,*****
61611,616**,*****
7970,797**,*****
3368,336**,*****
34058,340**,*****
49393,493**,*****
62436,624**,*****
7592,759**,*****
47757,477**,*****
5563,556**,*****
61922,619**,*****
4611,461**,*****
4005,400**,*****
7948,794**,*****
49005,490**,*****
6306,630**,*****
7231,723**,*****
48718,487**,*****
4931,493**,*****
23047,230**,*****
5789,578**,*****
3462,346**,*****
3008,300**,*****
42450,424**,*****
5304,530**,*****
41529,415**,*****
2751,275**,*****
61182,611**,*****
42969,429**,*****
44946,449**,*****
6531,653**,*****
7260,726**,*****
49450,494**,*****
6586,658**,*****
62304,623**,*****
3406,340**,*****
41727,417**,*****
4502,450**,*****
4376,437**,*****
35059,350**,*****
22238,222**,*****
49102,491**,*****
62377,623**,*****
34177,341**,*****
49336,493**,*****
48114,481**,*****
7615,761**,*****
42177,421**,*****
4792,479**,*****
3361,336**,*****
41818,418**,*****
46723,467**,*****
7430,743**,*****
22308,223**,*****
8631,863**,*****
3698,369**,*****
3376,337**,*****
46725,467**,*****
23117,231**,*****
42784,427**,*****
35256,352**,*****
35293,352**,*****
42154,421**,*****
21697,216**,*****
8581,858**,*****
1161,116**,*****
48304,483**,*****
46705,467**,*****
2538,253**,*****
1853,185**,*****
35309,353**,*****
6913,691**,*****
4103,410**,*****
61484,614**,*****
23014,230**,*****
46318,463**,*****
21054,210**,*****
4726,472**,*****
4019,401**,*****
3499,349**,*****
47591,475**,*****
42491,424**,*****
47373,473**,*****
4308,430**,*****
2584,258**,*****
61484,614**,*****
7973,797**,*****
62394,623**,*****
42413,424**,*****
44914,449**,*****
7504,750**,*****
8025,802**,*****
35289,352**,*****
34370,343**,*****
48466,484**,*****
42927,429**,*****
34404,344**,*****
8765,876**,*****
22358,223**,*****
7762,776**,*****
6097,609**,*****
48758,487**,*****
2187,218**,*****
46004,460**,*****
34597,345**,*****
1304,130**,*****
8351,835**,*****
61239,612**,*****
21031,210**,*****
4629,462**,*****
41713,417**,*****
22637,226**,*****
47557,475**,*****
8821,882**,*****
8207,820**,*****
21310,213**,*****
62395,623**,*****
21535,215**,*****
6929,692**,*****
8255,825**,*****
44260,442**,*****
8647,864**,*****
42974,429**,*****
22210,222**,*****
6312,631**,*****
6533,653**,*****
7423,742**,*****
8737,873**,*****
41562,415**,*****
1027,102**,*****
23123,231**,*****
42047,420**,*****
22148,221**,*****
42835,428**,*****
41160,411**,*****
34113,341**,*****
21524,215**,*****
34185,341**,*****
21405,214**,*****
44617,446**,*****
34121,341**,*****
46725,467**,*****
8282,828**,*****
61755,617**,*****
41439,414**,*****
23046,230**,*****
7003,700**,*****
3481,348**,*****
41444,414**,*****
23058,230**,*****
21501,215**,*****
48312,483**,*****
42664,426**,*****
62047,620**,*****
8852,885**,*****
3436,343**,*****
1098,109**,*****
48807,488**,*****
46730,467**,*****
48217,482**,*****
7740,774**,*****
35266,352**,*****
3340,334**,*****
1188,118**,*****
46323,463**,*****
48569,485**,*****
4744,474**,*****
4728,472**,*****
44965,449**,*****
5663,566**,*****
35252,352**,*****
3059,305**,*****
44499,444**,*****
1207,120**,*****
34418,344**,*****
4190,419**,*****
47024,470**,*****
4805,480**,*****
5022,502**,*****
21929,219**,*****
61908,619**,*****
34651,346**,*****
44042,440**,*****
47286,472**,*****
21373,213**,*****
1633,163**,*****
61217,612**,*****
2784,278**,*****
41589,415**,*****
42906,429**,*****
46565,465**,*****
8625,862**,*****
5690,569**,*****
41491,414**,*****
48545,485**,*****
4203,420**,*****
48070,480**,*****
4804,480**,*****
